iter	Passed	Remaining
0	219	219172
1	220	110209
2	221	73776
3	223	55560
4	224	44623
5	225	37331
6	227	32226
7	229	28421
8	230	25387
9	231	22938
10	232	20934
11	233	19259
12	235	17845
13	236	16637
14	237	15580
15	238	14677
16	239	13864
17	240	13140
18	241	12494
19	243	11918
20	244	11392
21	245	10915
22	246	10481
23	248	10085
24	249	9719
25	250	9381
26	251	9063
27	252	8769
28	253	8496
29	254	8241
30	256	8002
31	257	7778
32	258	7570
33	259	7372
34	260	7185
35	261	7013
36	262	6843
37	264	6684
38	265	6537
39	266	6396
40	267	6260
41	268	6131
42	269	6006
43	271	5888
44	272	5776
45	273	5667
46	274	5564
47	275	5467
48	276	5372
49	278	5286
50	279	5200
51	280	5114
52	281	5033
53	282	4953
54	283	4877
55	284	4802
56	286	4732
57	287	4670
58	288	4605
59	289	4540
60	290	4478
61	292	4420
62	293	4361
63	294	4305
64	295	4250
65	296	4198
66	297	4146
67	298	4088
68	299	4039
69	300	3992
70	301	3946
71	302	3902
72	303	3858
73	304	3815
74	306	3774
75	307	3733
76	308	3694
77	309	3655
78	310	3617
79	311	3580
80	312	3543
81	313	3507
82	314	3473
83	315	3439
84	316	3402
85	317	3369
86	317	3334
87	318	3304
88	319	3274
89	321	3249
90	322	3220
91	323	3192
92	324	3164
93	325	3136
94	326	3111
95	327	3087
96	329	3063
97	330	3037
98	331	3014
99	332	2990
100	333	2967
101	334	2943
102	335	2923
103	336	2902
104	338	2881
105	339	2861
106	340	2841
107	341	2820
108	342	2800
109	343	2781
110	344	2761
111	346	2743
112	347	2729
113	348	2711
114	349	2692
115	350	2673
116	351	2655
117	353	2638
118	353	2619
119	354	2602
120	355	2585
121	356	2568
122	357	2548
123	358	2532
124	359	2516
125	360	2502
126	361	2487
127	362	2472
128	364	2457
129	365	2443
130	366	2428
131	367	2414
132	368	2399
133	369	2385
134	370	2371
135	371	2358
136	372	2345
137	373	2331
138	374	2318
139	375	2306
140	376	2294
141	377	2282
142	378	2269
143	379	2257
144	380	2245
145	381	2233
146	382	2221
147	383	2209
148	384	2198
149	386	2187
150	387	2176
151	388	2165
152	389	2154
153	390	2145
154	391	2134
155	392	2123
156	393	2113
157	394	2102
158	395	2092
159	396	2083
160	397	2073
161	398	2063
162	399	2053
163	400	2043
164	402	2034
165	403	2025
166	404	2015
167	405	2008
168	407	2002
169	408	1994
170	409	1985
171	412	1984
172	413	1978
173	416	1975
174	420	1980
175	423	1983
176	425	1978
177	427	1976
178	434	1992
179	437	1993
180	438	1983
181	440	1979
182	442	1975
183	444	1970
184	446	1966
185	448	1964
186	450	1957
187	452	1955
188	454	1948
189	455	1942
190	456	1935
191	457	1927
192	458	1919
193	460	1911
194	461	1903
195	462	1895
196	463	1888
197	464	1880
198	465	1875
199	467	1869
200	468	1862
201	469	1856
202	471	1852
203	473	1846
204	474	1839
205	475	1831
206	476	1824
207	477	1818
208	478	1811
209	479	1804
210	481	1800
211	482	1794
212	484	1789
213	485	1784
214	486	1778
215	488	1771
216	489	1764
217	490	1758
218	491	1751
219	492	1745
220	493	1739
221	494	1732
222	496	1728
223	497	1723
224	499	1718
225	500	1714
226	501	1708
227	502	1702
228	503	1696
229	504	1690
230	505	1684
231	507	1678
232	508	1672
233	509	1666
234	511	1664
235	512	1660
236	514	1655
237	516	1652
238	517	1646
239	518	1641
240	519	1635
241	520	1629
242	521	1623
243	522	1618
244	523	1612
245	524	1608
246	529	1613
247	531	1612
248	533	1609
249	535	1607
250	537	1604
251	538	1599
252	541	1598
253	543	1595
254	546	1597
255	548	1594
256	550	1590
257	551	1586
258	552	1582
259	556	1584
260	558	1580
261	559	1576
262	561	1572
263	563	1569
264	564	1566
265	566	1562
266	567	1559
267	571	1561
268	573	1557
269	574	1554
270	576	1550
271	577	1546
272	579	1542
273	580	1538
274	582	1534
275	583	1530
276	586	1531
277	588	1528
278	589	1524
279	591	1520
280	592	1516
281	594	1512
282	595	1509
283	597	1505
284	598	1501
285	601	1502
286	603	1499
287	605	1496
288	606	1492
289	608	1489
290	609	1485
291	611	1482
292	612	1478
293	616	1479
294	617	1476
295	619	1473
296	620	1469
297	622	1465
298	623	1461
299	624	1456
300	625	1452
301	626	1447
302	627	1443
303	628	1438
304	630	1436
305	631	1432
306	632	1428
307	633	1424
308	634	1419
309	635	1415
310	636	1410
311	637	1406
